,power,power2,power3,ema1len,ema2len,sma1len,sma2len,trimlong,trimshort,Equity Final [$]
0,4.272047949007193,0.6326728694089397,0.012149136422372166,120,79,145,76,0.3737921112865714,0.3183127731622323,803324575.7127804
1,4.695178194640592,0.4415766057542149,0.008341419984900974,127,65,148,74,0.09149069827636311,0.28485722176892725,813272250.0231999
2,3.8146507206436318,0.5330562057697696,0.0084137316198275,143,71,145,78,0.2371525525692027,0.350871873328176,844870225.4641395
3,3.99109594571027,0.5031079703716185,0.00837578860863918,146,92,64,83,0.09335241614287006,0.07832863833057399,846378474.6605002
4,2.7860297674584475,0.6786373637028997,0.012040587698061373,147,135,63,76,0.49210564587465777,0.07559145270118088,850735625.2699
5,4.031565287499246,0.8987602112446609,0.01171678131775248,147,98,52,85,0.15746643407434643,0.08225555198554726,911295236.6027007
6,5.152507516112963,0.41680447383140296,0.012267253029603969,148,117,97,76,0.05717742793685876,0.05740783337604524,997596767.9527798
7,4.417152825808038,0.38898183535170355,0.01100808654501803,147,67,142,73,0.07527816594663828,0.08645176827746684,1101705878.5384803
8,3.5321864726177457,0.36396525265129065,0.011826719269301553,148,72,115,75,0.15356453469751985,0.06952578318697364,1198732832.5935602
9,5.243948210505897,0.3556934292304807,0.011391658005733524,146,74,57,75,0.4826572931595708,0.08266552938602649,1416660167.5390406
