power,power2,power3,ema1len,ema2len,sma1len,sma2len,Sortino Ratio
2.8479806564544075,0.9262554561769135,0.013626654319635572,41,26,53,14,4.545497018693558
2.725540140062768,0.23939513509187307,0.02887182616153333,25,56,30,12,4.566122872092065
2.962048189214089,0.9204880088476688,0.02285597144612512,53,94,38,25,4.670216458342809
2.0010956644834126,0.3967368074048956,0.015474953866728619,37,47,44,13,4.72031711802738
2.0711675211553446,0.8205373413326454,0.024976653359211072,46,40,51,11,4.7893037050464535
1.6646659941923831,0.398373307400248,0.017250954871776455,19,72,36,20,5.093883107655328
2.1675343218594785,0.9101200654061941,0.01277717711491157,29,48,32,25,5.154957006105716
2.981209098851131,0.9693355662851422,0.020060776123776932,47,25,41,20,5.233968092535704
2.6614174480005635,0.7941156595562602,0.014968332948278939,16,54,46,19,5.378893112975141
2.6370780717329425,0.6844384228317724,0.018154631803902005,17,29,31,24,6.167659881275849
