,10,9,8,7,6,5,4,3,2,1
Start,2017-01-01 04:00:00,2017-01-01 04:00:00,2017-01-01 04:00:00,2017-01-01 04:00:00,2017-01-01 04:00:00,2017-01-01 04:00:00,2017-01-01 04:00:00,2017-01-01 04:00:00,2017-01-01 04:00:00,2017-01-01 04:00:00
End,2022-01-10 16:00:00,2022-01-10 16:00:00,2022-01-10 16:00:00,2022-01-10 16:00:00,2022-01-10 16:00:00,2022-01-10 16:00:00,2022-01-10 16:00:00,2022-01-10 16:00:00,2022-01-10 16:00:00,2022-01-10 16:00:00
Duration,1835 days 12:00:00,1835 days 12:00:00,1835 days 12:00:00,1835 days 12:00:00,1835 days 12:00:00,1835 days 12:00:00,1835 days 12:00:00,1835 days 12:00:00,1835 days 12:00:00,1835 days 12:00:00
Exposure Time [%],98.0343300110742,98.49575489110373,98.59726836471022,98.34809892949427,98.05278700627538,98.89258028792912,98.44961240310077,98.17275747508306,98.77260981912144,98.65263935031376
Equity Final [$],456277138.6734804,460631328.54857993,522175923.2011403,562746585.2672404,579255057.3572605,586995972.5294201,629287005.7578607,658655438.0668998,672310260.5351996,1138260048.7687793
Equity Peak [$],626536665.3656803,655229874.9241002,638864375.1270602,935560609.1165001,787572139.9212601,800241332.2026199,944725183.9386799,974618941.5699399,1140293255.62586,1536240506.4813395
Return [%],456177.13867348037,460531.32854857994,522075.92320114025,562646.5852672404,579155.0573572605,586895.9725294202,629187.0057578607,658555.4380668998,672210.2605351997,1138160.0487687793
Buy & Hold Return [%],35060.88474970897,35060.88474970897,35060.88474970897,35060.88474970897,35060.88474970897,35060.88474970897,35060.88474970897,35060.88474970897,35060.88474970897,35060.88474970897
Return (Ann.) [%],440.31701560121166,441.34546392602925,455.1100966532325,463.48902511227436,466.76054631415076,468.26895747337875,476.2398525743011,481.52654097941746,483.9205875475708,548.8410421803201
Volatility (Ann.) [%],651.4720376752804,677.4082231563686,685.1818964959058,681.6956782060626,711.3591305131781,690.4823211769468,716.6065018994187,745.1555960230132,731.7314873104622,810.7953448633727
Sharpe Ratio,0.6758801454816749,0.6515206766602121,0.6642179237086017,0.6799060635560773,0.6561531669347201,0.6781766065714774,0.6645765162777508,0.6462093870721547,0.661336290619746,0.6769168639871821
Sortino Ratio,7.54042382693368,7.445525545086328,7.776457336559029,8.081674897229078,7.8348590438483905,8.101296063453297,8.089692260783806,8.046784491983598,8.223298331890977,9.472393796115476
Calmar Ratio,6.591299712849234,7.524739495136369,6.981081468276791,6.982846897152266,7.144433408364467,7.4052210876872815,6.138530242083024,6.566117135399747,7.514066356517951,7.8347131641946195
Max. Drawdown [%],-66.80276042414629,-58.652590459947994,-65.19191886261883,-66.37536694400299,-65.33205918998179,-63.23497326122689,-77.58206505352263,-73.33505191117825,-64.401958219041,-70.05247424865222
Avg. Drawdown [%],-7.461448374092429,-7.651809200789211,-7.869055333362998,-7.007335934174823,-7.579825877725789,-7.601995463990901,-7.3944627254460205,-6.948042344676539,-7.0551978612287485,-7.560999159663442
Max. Drawdown Duration,204 days 04:00:00,174 days 04:00:00,228 days 16:00:00,205 days 04:00:00,129 days 04:00:00,205 days 20:00:00,243 days 12:00:00,393 days 20:00:00,172 days 04:00:00,287 days 08:00:00
Avg. Drawdown Duration,9 days 18:00:00,9 days 00:00:00,10 days 00:00:00,8 days 09:00:00,9 days 05:00:00,9 days 01:00:00,9 days 03:00:00,8 days 22:00:00,8 days 05:00:00,8 days 19:00:00
# Trades,242,334,308,167,240,179,297,328,340,287
Win Rate [%],21.90082644628099,20.059880239520957,19.805194805194805,23.353293413173652,43.333333333333336,22.905027932960895,25.252525252525253,46.646341463414636,19.705882352941178,21.951219512195124
Best Trade [%],1468.9311033106203,1960.667397599168,1981.7498130673637,1960.9695243659025,1553.1907935541349,2028.1917492815196,2015.4873351887773,2077.24488910378,2003.9298554690308,2070.2897706532463
Worst Trade [%],-26.279915281378297,-10.615387834883872,-15.421871679717247,-15.051936165027314,-13.644856610193301,-14.9467842449723,-22.05910759126908,-38.063007461664554,-8.900368901039602,-39.34124332151807
Avg. Trade [%],3.5431014171211084,2.557702836744813,2.8184464436124657,5.971481560607206,13.832344769246285,5.897786611869127,5.629871240874196,8.919071109878264,2.6260586008890696,3.3357495466149967
Max. Trade Duration,121 days 12:00:00,134 days 00:00:00,136 days 04:00:00,144 days 20:00:00,146 days 08:00:00,144 days 16:00:00,134 days 00:00:00,132 days 04:00:00,138 days 08:00:00,135 days 04:00:00
Avg. Trade Duration,7 days 09:00:00,5 days 09:00:00,5 days 20:00:00,10 days 23:00:00,14 days 03:00:00,10 days 05:00:00,7 days 17:00:00,10 days 06:00:00,5 days 07:00:00,6 days 06:00:00
Profit Factor,5.860136927163505,5.726267993246581,6.011131512621307,9.476350574393155,14.727080916493476,9.008935663110378,8.101623585152154,13.21948337353066,6.097845955813942,7.460255078624164
Expectancy [%],10.263283421858507,8.56097323166708,9.424614833427167,18.459937453621578,21.9197145078524,19.015743740022874,13.01435182671026,16.186900053790403,8.651535402022386,10.780436969036213
SQN,1.2279594424279807,1.3404105305364455,1.4987525308354006,1.1982015509094088,1.6076198738411995,1.3758235295562853,1.2651744017000057,1.5149668190582244,1.2279083617624127,1.4186554568914371
